ID;Gender;Firstname;Surname;Email;Birthday;Kilograms;Centimeters
69;female;Fannie;Gunnarsson;FannieGunnarsson@superrito.com;9/9/1992;68.3;154
70;female;Donia;Holmgren;DoniaHolmgren@einrot.com;2/18/1995;70.2;171
71;male;Dino;Hermansson;DinoHermansson@dayrep.com;8/22/1991;83.2;185
72;male;Ante;Magnusson;AnteMagnusson@superrito.com;4/6/1995;61.6;188
73;male;Niklas;Sundberg;NiklasSundberg@rhyta.com;9/13/1992;62.0;176
74;male;Denis;Nordin;DenisNordin@cuvox.de;5/22/1994;100.2;188
75;female;Bianca;Norberg;BiancaNorberg@superrito.com;4/20/1997;56.7;152
76;female;Maria;Åström;MariaAstrom@jourrapide.com;5/17/1994;99.3;175
77;male;Theo;Lundgren;TheoLundgren@gustr.com;3/15/1992;99.3;177
78;female;Havin;Abrahamsson;HavinAbrahamsson@superrito.com;1/3/1994;62.9;171
79;male;Valentino;Lindqvist;ValentinoLindqvist@einrot.com;11/20/1994;74.5;188
80;female;Fiona;Fredriksson;FionaFredriksson@superrito.com;8/12/1994;69.0;173
81;female;Nina;Nordström;NinaNordstrom@dayrep.com;3/21/1995;68.6;174
82;male;Adam;Nilsson;AdamNilsson@einrot.com;1/4/1997;93.1;166
83;female;Veronica;Olsson;VeronicaOlsson@einrot.com;1/9/1993;77.1;163
84;male;Hugo;Jonasson;HugoJonasson@teleworm.us;4/22/1995;82.1;168
85;female;Kristina;Carlsson;KristinaCarlsson@rhyta.com;12/1/1995;85.7;174
86;female;Chanel;Isaksson;ChanelIsaksson@jourrapide.com;11/5/1992;57.1;162
87;female;Joanna;Löfgren;JoannaLofgren@dayrep.com;8/30/1991;59.3;174
88;female;Philippa;Åberg;PhilippaAberg@superrito.com;10/20/1997;81.2;163
89;male;Teo;Sandberg;TeoSandberg@rhyta.com;5/8/1995;109.2;190
90;male;Arvin;Nilsson;ArvinNilsson@rhyta.com;2/27/1993;63.5;178
91;male;Rickard;Nordström;RickardNordstrom@armyspy.com;12/14/1994;91.6;189
92;male;Mohamad;Olsson;MohamadOlsson@fleckens.hu;12/17/1990;63.7;184
93;female;Jenna;Fransson;JennaFransson@superrito.com;1/17/1995;67.3;159
94;male;Aston;Sundström;AstonSundstrom@fleckens.hu;2/19/1991;80.6;176
95;male;Amadeus;Ekström;AmadeusEkstrom@gustr.com;12/23/1993;68.6;188
96;male;Emil;Ström;EmilStrom@jourrapide.com;7/10/1995;99.1;186
97;male;Caspian;Sandberg;CaspianSandberg@einrot.com;9/10/1994;92.1;167
98;male;Albert;Ek;AlbertEk@jourrapide.com;5/10/1996;54.7;188
99;male;Helmer;Engström;HelmerEngstrom@armyspy.com;2/4/1992;82.3;176
100;female;Cajsa;Jonasson;CajsaJonasson@jourrapide.com;5/8/1993;47.5;175
101;male;Mostafa;Lindström;MostafaLindstrom@gustr.com;11/27/1995;81.7;190
102;female;Sanna;Lundin;SannaLundin@einrot.com;6/10/1993;76.6;166
103;female;Othilia;Jansson;OthiliaJansson@einrot.com;1/11/1997;63.1;160
104;female;Amelia;Bergman;AmeliaBergman@einrot.com;1/27/1996;82.0;151
105;male;Alvin;Ekström;AlvinEkstrom@jourrapide.com;11/27/1993;56.1;174
106;female;Sabrina;Lindgren;SabrinaLindgren@jourrapide.com;11/12/1993;52.0;167
107;female;Viktoria;Berglund;ViktoriaBerglund@rhyta.com;8/2/1996;59.1;164
108;male;Matheo;Holm;MatheoHolm@jourrapide.com;4/8/1997;77.7;180
109;male;Denniz;Nyman;DennizNyman@dayrep.com;8/8/1991;105.5;168
110;female;Isabel;Nordin;IsabelNordin@gustr.com;9/15/1992;73.0;173
111;male;Alfred;Holmgren;AlfredHolmgren@rhyta.com;5/2/1994;95.7;187
112;male;Manne;Andersson;ManneAndersson@gustr.com;2/11/1996;80.8;180
113;female;Donia;Göransson;DoniaGoransson@cuvox.de;10/24/1997;84.2;151
114;male;Nikola;Sandström;NikolaSandstrom@gustr.com;4/8/1991;106.2;175
115;male;Ibrahim;Arvidsson;IbrahimArvidsson@armyspy.com;2/20/1997;90.8;190
116;male;Vide;Ek;VideEk@superrito.com;10/18/1993;87.0;180
117;female;Evelin;Ivarsson;EvelinIvarsson@armyspy.com;1/25/1992;95.8;156
118;male;Axel;Abrahamsson;AxelAbrahamsson@armyspy.com;11/15/1996;55.4;171
119;male;Leon;Sandström;LeonSandstrom@einrot.com;6/9/1994;92.1;168
120;female;Tuva;Lindström;TuvaLindstrom@superrito.com;2/22/1992;51.0;154
121;male;Josef;Bengtsson;JosefBengtsson@fleckens.hu;8/2/1996;55.3;173
122;male;Artin;Åkesson;ArtinAkesson@armyspy.com;7/20/1994;74.7;185
123;male;Mikael;Söderberg;MikaelSoderberg@rhyta.com;10/11/1992;89.4;189
124;female;Meya;Gunnarsson;MeyaGunnarsson@armyspy.com;12/26/1993;53.6;154
125;male;Chris;Bergqvist;ChrisBergqvist@gustr.com;3/26/1991;95.1;187
126;female;Tora;Jakobsson;ToraJakobsson@teleworm.us;5/13/1995;88.6;166
127;female;Thilda;Bergström;ThildaBergstrom@einrot.com;5/22/1992;67.1;160
128;female;Alvina;Lindberg;AlvinaLindberg@armyspy.com;11/18/1995;83.4;154
129;female;Vilda;Olofsson;VildaOlofsson@cuvox.de;10/23/1991;84.1;164
130;male;Rufus;Engström;RufusEngstrom@cuvox.de;12/6/1994;59.8;176
131;female;Eliza;Eliasson;ElizaEliasson@dayrep.com;10/4/1991;63.4;171
132;female;Melinda;Arvidsson;MelindaArvidsson@dayrep.com;2/12/1992;55.9;175
133;female;Tilly;Lundin;TillyLundin@fleckens.hu;5/31/1991;85.8;159
134;male;Razmus;Söderberg;RazmusSoderberg@gustr.com;9/6/1997;56.6;184
135;female;Melisa;Henriksson;MelisaHenriksson@jourrapide.com;9/15/1997;73.0;156
136;female;Anna;Olofsson;AnnaOlofsson@einrot.com;10/6/1992;67.0;175
137;female;Shirin;Månsson;ShirinMansson@fleckens.hu;5/14/1995;53.9;165
138;male;Oliwer;Eliasson;OliwerEliasson@armyspy.com;2/1/1995;76.7;181
139;female;Izabelle;Gustavsson;IzabelleGustavsson@armyspy.com;12/5/1996;81.6;168
140;female;Vilda;Karlsson;VildaKarlsson@armyspy.com;2/18/1994;90.1;173
141;male;Elvis;Larsson;ElvisLarsson@dayrep.com;1/24/1995;81.3;168
142;female;Nelly;Sundberg;NellySundberg@jourrapide.com;3/19/1991;59.6;167
143;female;Berfin;Isaksson;BerfinIsaksson@teleworm.us;8/1/1996;49.6;161
144;male;Anas;Jonasson;AnasJonasson@fleckens.hu;6/7/1997;84.2;173
145;female;Annie;Hansson;AnnieHansson@superrito.com;7/5/1996;88.1;157
146;male;Lars;Karlsson;LarsKarlsson@gustr.com;2/8/1993;101.7;169
147;male;Jan;Axelsson;JanAxelsson@rhyta.com;6/22/1992;62.1;178
148;male;Nima;Nyman;NimaNyman@einrot.com;10/27/1997;95.1;169
149;female;Nova;Bergström;NovaBergstrom@armyspy.com;10/31/1992;98.9;157
150;female;Jolin;Fredriksson;JolinFredriksson@gustr.com;5/16/1994;99.8;160
151;female;Marie;Lindström;MarieLindstrom@cuvox.de;2/1/1997;59.9;166
152;male;Dani;Carlsson;DaniCarlsson@einrot.com;7/28/1992;104.0;188
153;female;Thilda;Mårtensson;ThildaMartensson@superrito.com;1/8/1995;99.5;162
154;female;Leila;Nordin;LeilaNordin@jourrapide.com;8/12/1995;96.6;163
155;female;Leonora;Martinsson;LeonoraMartinsson@armyspy.com;12/14/1990;71.5;156
156;male;Emir;Andreasson;EmirAndreasson@dayrep.com;9/10/1993;85.4;177
157;male;Emin;Strömberg;EminStromberg@einrot.com;11/27/1995;105.2;183
158;male;Ricky;Arvidsson;RickyArvidsson@gustr.com;8/22/1992;64.5;187
159;female;Nikki;Jonsson;NikkiJonsson@teleworm.us;2/15/1992;97.9;174
160;male;Elliott;Lindqvist;ElliottLindqvist@teleworm.us;8/7/1995;100.8;175
161;male;Maximus;Lindström;MaximusLindstrom@superrito.com;5/15/1992;63.6;168
162;female;Estelle;Nyström;EstelleNystrom@jourrapide.com;11/15/1995;71.1;171
163;female;Micaela;Magnusson;MicaelaMagnusson@teleworm.us;7/15/1991;73.5;169
164;female;Lea;Henriksson;LeaHenriksson@superrito.com;6/22/1997;52.1;160
165;male;Kim;Blom;KimBlom@armyspy.com;2/12/1993;73.2;186
166;female;Liv;Ström;LivStrom@einrot.com;4/1/1997;82.9;168
167;female;Filippa;Berggren;FilippaBerggren@cuvox.de;6/14/1995;98.4;170
168;male;Wiggo;Wallin;WiggoWallin@gustr.com;5/7/1995;91.7;180
169;male;Joacim;Norberg;JoacimNorberg@superrito.com;2/9/1994;59.2;167
170;female;Claudia;Söderberg;ClaudiaSoderberg@dayrep.com;4/13/1995;93.8;161
171;female;Amalia;Sundberg;AmaliaSundberg@cuvox.de;10/10/1997;69.2;158
172;female;Rakel;Fransson;RakelFransson@dayrep.com;8/11/1993;89.3;162
173;male;Alvar;Bergström;AlvarBergstrom@dayrep.com;1/13/1997;81.7;188
174;female;Sally;Larsson;SallyLarsson@teleworm.us;9/23/1996;73.4;154
175;female;Nicolina;Åkesson;NicolinaAkesson@gustr.com;9/3/1993;51.6;159
176;male;Ture;Nordin;TureNordin@teleworm.us;4/5/1995;87.0;182
177;female;Jasmin;Olofsson;JasminOlofsson@teleworm.us;6/11/1992;51.5;164
178;male;Einar;Hansson;EinarHansson@superrito.com;10/22/1991;81.7;181
179;male;Yusuf;Larsson;YusufLarsson@fleckens.hu;3/18/1993;90.3;178
180;female;Savannah;Berg;SavannahBerg@cuvox.de;9/20/1992;95.1;165
181;female;Michaela;Jonasson;MichaelaJonasson@rhyta.com;2/4/1992;60.8;160
182;male;Calle;Holmgren;CalleHolmgren@rhyta.com;9/28/1991;90.2;170
183;female;Siri;Lindström;SiriLindstrom@cuvox.de;6/27/1997;56.7;173
184;male;Abdullah;Åkesson;AbdullahAkesson@rhyta.com;7/21/1993;104.4;188
185;male;Alfred;Sandström;AlfredSandstrom@teleworm.us;12/15/1995;94.4;179
186;female;Dilan;Jönsson;DilanJonsson@cuvox.de;1/16/1992;78.7;155
187;male;Konrad;Lundqvist;KonradLundqvist@armyspy.com;7/31/1993;57.0;176
188;female;Lana;Hedlund;LanaHedlund@gustr.com;4/12/1993;49.9;163
189;female;Hillevi;Hermansson;HilleviHermansson@teleworm.us;1/25/1991;93.5;159
190;male;Rickard;Lundberg;RickardLundberg@gustr.com;4/22/1996;78.3;168
191;female;Aya;Forsberg;AyaForsberg@jourrapide.com;9/3/1991;96.5;168
192;female;Laila;Mattsson;LailaMattsson@rhyta.com;7/8/1994;47.1;157
193;male;Melker;Bergman;MelkerBergman@einrot.com;7/1/1997;62.6;166
194;male;Lowe;Magnusson;LoweMagnusson@gustr.com;1/21/1996;79.1;187
195;female;Lilian;Ivarsson;LilianIvarsson@jourrapide.com;3/1/1997;55.8;153
196;male;Mohammed;Nyström;MohammedNystrom@cuvox.de;10/17/1995;61.8;186
197;female;Jasmin;Lindberg;JasminLindberg@dayrep.com;10/2/1993;85.9;168
198;female;Isabelle;Jansson;IsabelleJansson@cuvox.de;12/10/1993;79.0;165
199;male;Philip;Gunnarsson;PhilipGunnarsson@fleckens.hu;7/18/1994;95.5;176
200;male;Tony;Ivarsson;TonyIvarsson@einrot.com;10/26/1992;104.7;174
201;male;August;Lundqvist;AugustLundqvist@gustr.com;12/16/1996;98.1;178
202;male;Lars;Wallin;LarsWallin@cuvox.de;2/24/1996;86.7;164
203;female;Elizabeth;Berg;ElizabethBerg@teleworm.us;11/21/1991;94.6;160
204;female;Malou;Forsberg;MalouForsberg@einrot.com;3/3/1997;47.4;167
205;female;Melina;Ek;MelinaEk@teleworm.us;9/5/1997;49.0;167
206;female;Wendela;Jansson;WendelaJansson@fleckens.hu;4/17/1997;61.0;168
207;female;Leila;Fredriksson;LeilaFredriksson@teleworm.us;8/21/1991;49.7;156
208;male;Mario;Lindberg;MarioLindberg@superrito.com;7/6/1995;95.7;175
209;female;Tindra;Eklund;TindraEklund@einrot.com;8/28/1993;75.8;163
210;male;Joachim;Ek;JoachimEk@jourrapide.com;11/25/1993;79.3;180
211;male;Matheo;Åkesson;MatheoAkesson@einrot.com;10/23/1995;73.0;171
212;male;Edgar;Åström;EdgarAstrom@einrot.com;6/25/1991;80.2;183
213;male;Razmus;Nyman;RazmusNyman@jourrapide.com;10/15/1992;73.8;172
214;male;Algot;Björk;AlgotBjork@einrot.com;10/4/1992;69.4;187
215;female;Bianca;Eklund;BiancaEklund@rhyta.com;1/1/1996;64.1;171
216;female;Maryama;Abrahamsson;MaryamaAbrahamsson@cuvox.de;3/3/1996;78.7;164
217;male;Zebastian;Nordström;ZebastianNordstrom@gustr.com;3/3/1993;63.7;170
218;female;Amilia;Nilsson;AmiliaNilsson@rhyta.com;5/20/1993;70.1;168
219;male;Richard;Öberg;RichardOberg@jourrapide.com;1/14/1994;74.0;174
220;male;Caspar;Göransson;CasparGoransson@cuvox.de;4/2/1993;91.5;180
221;female;Martina;Lindqvist;MartinaLindqvist@cuvox.de;2/28/1991;68.4;163
222;male;Nico;Lundgren;NicoLundgren@fleckens.hu;4/1/1997;76.4;174
223;female;Sofia;Strömberg;SofiaStromberg@fleckens.hu;12/6/1996;53.6;161
224;male;Dennis;Bengtsson;DennisBengtsson@cuvox.de;1/16/1992;90.5;186
225;male;Atle;Jonsson;AtleJonsson@teleworm.us;9/5/1994;58.5;172
226;male;Kimi;Lund;KimiLund@gustr.com;9/4/1995;90.7;181
227;female;Isabella;Persson;IsabellaPersson@gustr.com;9/29/1994;86.1;162
228;female;Märta;Sundström;MartaSundstrom@rhyta.com;6/3/1992;65.4;164
229;male;Frank;Martinsson;FrankMartinsson@superrito.com;1/11/1994;69.7;175
230;male;Kewin;Hansson;KewinHansson@rhyta.com;11/23/1991;71.5;171
231;male;Arvin;Johnsson;ArvinJohnsson@gustr.com;8/18/1997;79.1;189
232;female;Medina;Jönsson;MedinaJonsson@armyspy.com;7/19/1992;51.8;168
233;female;Dalia;Björk;DaliaBjork@dayrep.com;6/18/1993;61.9;173
234;male;Yonis;Andreasson;YonisAndreasson@einrot.com;5/2/1997;86.6;182
235;male;Michael;Eliasson;MichaelEliasson@jourrapide.com;7/6/1995;87.6;182
236;male;Ricky;Abrahamsson;RickyAbrahamsson@teleworm.us;11/15/1994;84.3;174
237;female;Savannah;Jonsson;SavannahJonsson@gustr.com;2/14/1995;98.2;154
238;male;Alan;Lundström;AlanLundstrom@einrot.com;3/6/1994;75.3;173
239;female;Asta;Håkansson;AstaHakansson@fleckens.hu;7/3/1997;48.2;173
240;male;Lukas;Norberg;LukasNorberg@dayrep.com;8/12/1991;65.0;185
241;female;Rania;Nordin;RaniaNordin@armyspy.com;6/14/1997;61.3;155
242;female;Izabella;Lind;IzabellaLind@fleckens.hu;1/30/1992;47.9;155
243;male;Dani;Hedlund;DaniHedlund@rhyta.com;8/13/1994;97.3;173
244;male;Abdullahi;Dahlberg;AbdullahiDahlberg@rhyta.com;4/30/1994;74.0;176
245;male;Aleksander;Sundström;AleksanderSundstrom@rhyta.com;11/13/1996;68.5;178
246;female;Mathilda;Åkesson;MathildaAkesson@fleckens.hu;12/6/1995;55.7;165
247;female;Sanne;Holmberg;SanneHolmberg@cuvox.de;6/9/1992;56.9;172
248;male;Khalid;Johansson;KhalidJohansson@superrito.com;11/17/1991;83.8;179
249;male;Josef;Åström;JosefAstrom@superrito.com;7/9/1991;103.7;169
250;female;Jolin;Blomqvist;JolinBlomqvist@dayrep.com;2/17/1991;66.5;157
251;female;Lilly;Magnusson;LillyMagnusson@jourrapide.com;4/4/1991;67.7;155
252;male;Edvin;Berggren;EdvinBerggren@dayrep.com;11/24/1992;66.5;168
253;female;Kajsa;Lind;KajsaLind@jourrapide.com;12/24/1993;81.1;175
254;male;Tage;Lind;TageLind@armyspy.com;2/5/1995;69.6;171
255;female;Havanna;Axelsson;HavannaAxelsson@jourrapide.com;10/2/1991;88.9;160
256;male;Anton;Jonsson;AntonJonsson@einrot.com;8/22/1994;104.6;179
257;female;Lotta;Sundberg;LottaSundberg@armyspy.com;1/13/1994;98.5;165
258;male;Mattias;Berg;MattiasBerg@fleckens.hu;6/2/1995;67.6;178
259;male;Alvin;Olsson;AlvinOlsson@dayrep.com;7/16/1997;96.8;172
260;female;Hilda;Holm;HildaHolm@superrito.com;8/4/1992;78.8;171
261;female;Melanie;Dahl;MelanieDahl@dayrep.com;7/8/1997;52.9;171
262;female;Nadine;Nyberg;NadineNyberg@gustr.com;1/23/1992;58.0;156
263;male;Elliot;Bergman;ElliotBergman@fleckens.hu;1/27/1997;88.5;170
264;female;Belinda;Ekström;BelindaEkstrom@einrot.com;6/27/1996;47.5;155
265;female;Pernilla;Petersson;PernillaPetersson@dayrep.com;3/12/1993;74.5;161
266;male;Jonas;Samuelsson;JonasSamuelsson@einrot.com;4/13/1996;62.6;167
267;male;Victor;Jonsson;VictorJonsson@einrot.com;4/24/1995;59.4;187
268;female;Linn;Ekström;LinnEkstrom@superrito.com;1/15/1993;55.1;162
269;male;Paul;Karlsson;PaulKarlsson@jourrapide.com;8/11/1993;61.1;187
270;male;Darin;Lundqvist;DarinLundqvist@armyspy.com;7/26/1994;78.3;173
271;female;Ellinor;Pettersson;EllinorPettersson@dayrep.com;8/21/1997;88.7;167
272;female;Tanya;Karlsson;TanyaKarlsson@cuvox.de;5/24/1993;65.5;170
273;male;Jonas;Lindholm;JonasLindholm@jourrapide.com;1/2/1992;64.5;190
274;female;Amber;Åkesson;AmberAkesson@fleckens.hu;7/7/1991;50.3;175
275;male;Theodor;Jansson;TheodorJansson@armyspy.com;2/26/1993;58.6;184
276;male;Gustaf;Danielsson;GustafDanielsson@dayrep.com;4/11/1996;74.2;187
277;male;Joshua;Petersson;JoshuaPetersson@einrot.com;6/21/1993;106.8;179
278;male;Mahmoud;Danielsson;MahmoudDanielsson@jourrapide.com;2/22/1996;77.9;185
279;female;Rebecca;Fredriksson;RebeccaFredriksson@dayrep.com;4/17/1994;80.2;165
280;female;Jessika;Åström;JessikaAstrom@superrito.com;11/16/1997;81.9;174
281;male;Knut;Lindberg;KnutLindberg@rhyta.com;4/5/1994;107.8;170
282;male;Johnny;Jonsson;JohnnyJonsson@jourrapide.com;2/19/1993;58.7;167
283;female;Mimmi;Arvidsson;MimmiArvidsson@fleckens.hu;11/7/1996;74.7;159
284;male;Enes;Sandström;EnesSandstrom@gustr.com;9/15/1994;92.2;174
285;male;Alfred;Jönsson;AlfredJonsson@einrot.com;2/26/1997;54.2;190
286;female;Lina;Petersson;LinaPetersson@dayrep.com;6/28/1995;98.5;154
287;male;Georg;Ström;GeorgStrom@teleworm.us;7/28/1996;77.2;167
288;male;Abel;Abrahamsson;AbelAbrahamsson@superrito.com;9/21/1996;68.4;167
289;female;Signe;Hellström;SigneHellstrom@dayrep.com;11/22/1991;67.7;159
290;male;Armin;Ivarsson;ArminIvarsson@superrito.com;7/24/1995;70.6;171
291;female;Karolin;Lind;KarolinLind@cuvox.de;4/7/1991;92.6;156
292;female;Maria;Göransson;MariaGoransson@jourrapide.com;7/22/1993;81.8;167
293;male;Omar;Hellström;OmarHellstrom@einrot.com;9/7/1992;106.0;179
294;male;Hans;Bergström;HansBergstrom@armyspy.com;11/18/1991;60.8;168
295;female;Lovis;Lindqvist;LovisLindqvist@rhyta.com;12/26/1992;90.7;168
296;female;Mona;Lind;MonaLind@jourrapide.com;12/14/1992;93.6;166
297;male;Charbel;Åkesson;CharbelAkesson@dayrep.com;7/28/1995;107.3;181
298;male;Teo;Jonasson;TeoJonasson@superrito.com;12/1/1993;96.7;177
299;male;Hussein;Lind;HusseinLind@armyspy.com;1/18/1991;109.3;190
300;female;Lena;Abrahamsson;LenaAbrahamsson@superrito.com;8/15/1997;50.3;164
301;male;Ricky;Bergqvist;RickyBergqvist@einrot.com;4/29/1993;100.2;187
302;male;Douglas;Sandberg;DouglasSandberg@fleckens.hu;3/15/1993;87.7;181
303;male;Algot;Björklund;AlgotBjorklund@gustr.com;11/2/1993;97.0;168
304;female;Tua;Persson;TuaPersson@teleworm.us;6/28/1991;94.7;159
305;female;Jessika;Hermansson;JessikaHermansson@fleckens.hu;3/18/1996;86.2;152
306;male;Vilhelm;Sundberg;VilhelmSundberg@rhyta.com;6/14/1996;94.4;165
307;male;Jonny;Eriksson;JonnyEriksson@dayrep.com;2/18/1993;74.8;168
308;female;Angelina;Nyman;AngelinaNyman@armyspy.com;4/13/1991;74.7;169
309;male;Olof;Ek;OlofEk@teleworm.us;6/12/1991;94.8;167
310;male;Cornelis;Hansson;CornelisHansson@armyspy.com;9/26/1992;104.0;171
311;female;Julie;Jonasson;JulieJonasson@superrito.com;6/7/1995;46.2;157
312;female;Tone;Lindholm;ToneLindholm@gustr.com;5/31/1996;67.0;157
313;female;Sandy;Bergström;SandyBergstrom@gustr.com;1/29/1993;61.2;175
314;male;Eskil;Gunnarsson;EskilGunnarsson@jourrapide.com;6/26/1994;73.1;171
315;female;Wera;Olsson;WeraOlsson@jourrapide.com;4/26/1992;50.2;159
316;male;Truls;Åberg;TrulsAberg@superrito.com;1/5/1995;79.0;168
317;female;Tindra;Sandberg;TindraSandberg@rhyta.com;10/15/1993;57.6;172
318;male;Isaac;Hellström;IsaacHellstrom@cuvox.de;4/25/1997;90.9;186
319;female;Jeanette;Bergqvist;JeanetteBergqvist@jourrapide.com;5/12/1994;94.6;162
320;female;Alba;Danielsson;AlbaDanielsson@armyspy.com;10/21/1992;55.2;175
321;female;Nelli;Ivarsson;NelliIvarsson@gustr.com;11/26/1993;94.1;159
322;male;Rasmus;Magnusson;RasmusMagnusson@superrito.com;12/26/1992;64.9;175
323;female;Claudia;Björk;ClaudiaBjork@einrot.com;10/18/1995;53.7;175
